id,site,species,bag,age,bb.Car,Chl.a,Chl.c1,Chl.c2,Fuco,Phe.a,Viola,Zea
h1.5,WH,h,B1,25,0,1355.817929,71.85527651,38.11002026,818.2897653,0,0,97.69359289
h1.6,WH,h,B1,25,0,801.2834181,50.44117299,35.37010897,580.4430635,0,0,67.70425022
h2.4,WH,h,B2,25,95.65882697,1520.034869,85.57665824,65.83922199,928.8528082,0,0,0
h2.5,WH,h,B2,25,57.61269724,721.0042878,26.45695785,27.4242905,507.6620228,0,0,0
h2.6,WH,h,B2,25,147.1731382,1434.934873,94.45905309,77.85704084,755.3166282,0,0,0
h3.4,WH,h,B3,25,93.04066822,912.6945288,32.9948573,54.040767,570.8194254,0,0,0
h3.5,WH,h,B3,25,0,1763.848221,108.5061359,70.01945916,1064.310662,0,0,142.9419971
h3.6,WH,h,B3,25,0,1330.435037,95.65398268,3.89369845,1020.540643,0,0,98.85779082
o1.4,WH,o,B7,25,0,764.5933741,39.77698901,47.73165755,436.7598331,0,0,61.18201308
o1.5,WH,o,B7,25,0,893.5612835,36.34138971,63.41044643,604.961838,0,0,9.615190049
o1.6,WH,o,B7,25,0,1030.223109,47.94686731,66.6833075,684.448976,0,0,20.35442845
o2.4,WH,o,B8,25,0,849.0344052,40.67800696,71.67276052,574.2427571,0,0,25.16579026
o2.5,WH,o,B8,25,0,824.9908194,36.71146149,73.93635366,440.9966962,0,0,0
o2.6,WH,o,B8,25,0,1043.527476,56.05490107,60.36277921,790.9834164,0,0,55.2074015
o3.4,WH,o,B9,25,0,705.1681183,37.28146244,44.06611431,544.4774338,0,0,4.631258977
o3.5,WH,o,B9,25,0,278.4637389,14.45249719,17.42197111,135.6036915,0,0,17.47770032
o3.6,WH,o,B9,25,0,1152.265655,57.19888331,98.91628656,815.5140023,0,0,30.38052938
d1.7,WH,d,B4,32,73.63062635,1035.856687,60.42829832,30.7594977,803.9296571,0,0,0
d1.8,WH,d,B4,32,0,1056.718345,75.55182507,30.32811064,773.6264865,0,0,32.70939309
d1.9,WH,d,B4,32,0,1003.636594,72.19989396,9.478714183,781.5750568,0,0,62.01008704
d2.7,WH,d,B5,32,0,1100.463924,80.83399561,28.94037015,789.5782583,0,0,34.98489195
d2.8,WH,d,B5,32,0,1099.502585,78.30622149,26.45533982,775.3689931,0,0,87.92193135
d2.9,WH,d,B5,32,0,1257.815576,82.40130692,37.35983292,838.1069744,0,0,22.11646796
d3.7,WH,d,B6,32,0,1037.649448,75.05920366,23.94480709,730.539412,0,0,31.91657462
d3.8,WH,d,B6,32,76.24320081,842.3834199,55.19889186,0,667.7625212,0,0,0
d3.9,WH,d,B6,32,0,965.4958587,67.0470599,15.07396303,750.4307767,0,0,92.56260953
h1.7,WH,h,B1,32,154.2622423,1038.963855,39.14231358,82.62745628,603.2289709,0,0,0
h1.8,WH,h,B1,32,76.5748851,1048.799119,51.35950616,78.2062796,553.6567447,0,0,0
h1.9,WH,h,B1,32,82.16807087,774.653702,34.83820873,26.49728958,582.3107997,0,0,0
h2.7,WH,h,B2,32,34.27142329,650.9401053,44.51372675,2.221539545,441.8144158,0,0,0
h2.8,WH,h,B2,32,88.32022447,1171.099786,61.34673056,53.17605947,825.5758702,0,0,0
h2.9,WH,h,B2,32,151.385985,900.8883678,49.69663379,46.28635346,563.742165,0,0,0
